"","country","year","sales"
"1","Argentina",2019,333183
"2","Argentina",2020,232112
"3","Argentina",2021,240671
"4","Argentina",2022,260822
"5","Argentina",2023,266541
"6","Argentina",2024,274958
"7","Australia",2019,799263
"8","Australia",2020,676804
"9","Australia",2021,753256
"10","Australia",2022,777688
"11","Australia",2023,890823
"12","Australia",2024,898950
"13","Austria",2019,320381
"14","Austria",2020,257721
"15","Austria",2021,239803
"16","Austria",2022,215050
"17","Austria",2023,239150
"18","Austria",2024,253789
"19","Belgium",2019,550008
"20","Belgium",2020,431491
"21","Belgium",2021,383123
"22","Belgium",2022,366333
"23","Belgium",2023,476674
"24","Belgium",2024,448277
"25","Brazil",2019,2262073
"26","Brazil",2020,1615942
"27","Brazil",2021,1558467
"28","Brazil",2022,1576662
"29","Brazil",2023,1721400
"30","Brazil",2024,1948681
"31","Bulgaria",2019,35371
"32","Bulgaria",2020,22368
"33","Bulgaria",2021,24537
"34","Bulgaria",2022,28684
"35","Bulgaria",2023,37724
"36","Bulgaria",2024,42941
"37","Canada",2019,496846
"38","Canada",2020,318750
"39","Canada",2021,320605
"40","Canada",2022,258483
"41","Canada",2023,255642
"42","Canada",2024,254195
"43","Chile",2019,260683
"44","Chile",2020,194128
"45","Chile",2021,304045
"46","Chile",2022,313589
"47","Chile",2023,218642
"48","Chile",2024,209154
"49","China",2019,21472091
"50","China",2020,20177731
"51","China",2021,21518324
"52","China",2022,23563287
"53","China",2023,26062824
"54","China",2024,27562989
"55","Colombia",2019,220564
"56","Colombia",2020,151730
"57","Colombia",2021,200914
"58","Colombia",2022,208160
"59","Colombia",2023,144633
"60","Colombia",2024,164897
"61","Croatia",2019,62977
"62","Croatia",2020,36013
"63","Croatia",2021,44929
"64","Croatia",2022,42955
"65","Croatia",2023,57694
"66","Croatia",2024,65020
"67","Czech Republic",2019,249915
"68","Czech Republic",2020,202971
"69","Czech Republic",2021,206876
"70","Czech Republic",2022,192087
"71","Czech Republic",2023,221419
"72","Czech Republic",2024,231597
"73","Denmark",2019,225410
"74","Denmark",2020,198162
"75","Denmark",2021,185324
"76","Denmark",2022,148293
"77","Denmark",2023,172745
"78","Denmark",2024,173114
"79","Ecuador",2019,97572
"80","Ecuador",2020,61746
"81","Ecuador",2021,86740
"82","Ecuador",2022,100069
"83","Ecuador",2023,98018
"84","Ecuador",2024,75986
"85","Egypt",2019,127443
"86","Egypt",2020,167792
"87","Egypt",2021,215072
"88","Egypt",2022,133857
"89","Egypt",2023,69175
"90","Egypt",2024,81475
"91","Finland",2019,114188
"92","Finland",2020,96430
"93","Finland",2021,98481
"94","Finland",2022,81674
"95","Finland",2023,87509
"96","Finland",2024,74064
"97","France",2019,2214280
"98","France",2020,1650118
"99","France",2021,1659005
"100","France",2022,1529035
"101","France",2023,1774723
"102","France",2024,1718412
"103","Germany",2019,3607258
"104","Germany",2020,2917678
"105","Germany",2021,2622132
"106","Germany",2022,2651357
"107","Germany",2023,2844609
"108","Germany",2024,2817331
"109","Greece",2019,114226
"110","Greece",2020,80977
"111","Greece",2021,100916
"112","Greece",2022,105283
"113","Greece",2023,134484
"114","Greece",2024,137075
"115","Hungary",2019,157906
"116","Hungary",2020,128031
"117","Hungary",2021,121920
"118","Hungary",2022,111524
"119","Hungary",2023,107720
"120","Hungary",2024,121611
"121","India",2019,2962115
"122","India",2020,2433473
"123","India",2021,3082279
"124","India",2022,3792444
"125","India",2023,4101600
"126","India",2024,4274793
"127","Indonesia",2019,785539
"128","Indonesia",2020,388925
