"","regions","year","sales"
"1","EUROPE",2019,17948525
"2","EUROPE",2020,14176858
"3","EUROPE",2021,14016068
"4","EUROPE",2022,12637480
"5","EUROPE",2023,14998986
"6","EUROPE",2024,15643572
"7","EU 27 countries + EFTA + UK",2019,15787104
"8","EU 27 countries + EFTA + UK",2020,11954880
"9","EU 27 countries + EFTA + UK",2021,11778333
"10","EU 27 countries + EFTA + UK",2022,11293782
"11","EU 27 countries + EFTA + UK",2023,12847934
"12","EU 27 countries + EFTA + UK",2024,12963614
"13","OTHER COUNTRIES",2019,238551
"14","OTHER COUNTRIES",2020,182625
"15","OTHER COUNTRIES",2021,195040
"16","OTHER COUNTRIES",2022,185910
"17","OTHER COUNTRIES",2023,207160
"18","OTHER COUNTRIES",2024,205467
"19","RUSSIA, TURKEY & OTHER EUROPE",2019,2161421
"20","RUSSIA, TURKEY & OTHER EUROPE",2020,2221978
"21","RUSSIA, TURKEY & OTHER EUROPE",2021,2237735
"22","RUSSIA, TURKEY & OTHER EUROPE",2022,1343698
"23","RUSSIA, TURKEY & OTHER EUROPE",2023,2151052
"24","RUSSIA, TURKEY & OTHER EUROPE",2024,2679958
"25","OTHER COUNTRIES/REGIONS",2019,117985
"26","OTHER COUNTRIES/REGIONS",2020,92463
"27","OTHER COUNTRIES/REGIONS",2021,82252
"28","OTHER COUNTRIES/REGIONS",2022,75825
"29","OTHER COUNTRIES/REGIONS",2023,65779
"30","OTHER COUNTRIES/REGIONS",2024,71488
"31","AMERICA",2019,9615025
"32","AMERICA",2020,6863586
"33","AMERICA",2021,7022914
"34","AMERICA",2022,6551141
"35","AMERICA",2023,6938637
"36","AMERICA",2024,7079750
"37","USMCA (former NAFTA)",2019,5980349
"38","USMCA (former NAFTA)",2020,4253021
"39","USMCA (former NAFTA)",2021,4190767
"40","USMCA (former NAFTA)",2022,3604020
"41","USMCA (former NAFTA)",2023,3970504
"42","USMCA (former NAFTA)",2024,3874134
"43","CENTRAL & SOUTH AMERICA",2019,3634676
"44","CENTRAL & SOUTH AMERICA",2020,2610565
"45","CENTRAL & SOUTH AMERICA",2021,2832147
"46","CENTRAL & SOUTH AMERICA",2022,2947121
"47","CENTRAL & SOUTH AMERICA",2023,2968133
"48","CENTRAL & SOUTH AMERICA",2024,3205616
"49","OTHER COUNTRIES/REGIONS",2019,262755
"50","OTHER COUNTRIES/REGIONS",2020,189378
"51","OTHER COUNTRIES/REGIONS",2021,244388
"52","OTHER COUNTRIES/REGIONS",2022,277993
"53","OTHER COUNTRIES/REGIONS",2023,305856
"54","OTHER COUNTRIES/REGIONS",2024,324712
"55","ASIA/OCEANIA/MIDDLE EAST",2019,36356750
"56","ASIA/OCEANIA/MIDDLE EAST",2020,33036574
"57","ASIA/OCEANIA/MIDDLE EAST",2021,35403825
"58","ASIA/OCEANIA/MIDDLE EAST",2022,38763028
"59","ASIA/OCEANIA/MIDDLE EAST",2023,42727415
"60","ASIA/OCEANIA/MIDDLE EAST",2024,44043162
"61","ASEAN",2019,2395999
"62","ASEAN",2020,1650462
"63","ASEAN",2021,1875335
"64","ASEAN",2022,2328990
"65","ASEAN",2023,2524579
"66","ASEAN",2024,2462295
"67","OTHER COUNTRIES/REGIONS",2019,1171434
"68","OTHER COUNTRIES/REGIONS",2020,1120438
"69","OTHER COUNTRIES/REGIONS",2021,1158659
"70","OTHER COUNTRIES/REGIONS",2022,1509079
"71","OTHER COUNTRIES/REGIONS",2023,1566261
"72","OTHER COUNTRIES/REGIONS",2024,1452224
"73","AFRICA",2019,883120
"74","AFRICA",2020,665099
"75","AFRICA",2021,833233
"76","AFRICA",2022,789887
"77","AFRICA",2023,747725
"78","AFRICA",2024,775597
"79","OTHER COUNTRIES/REGIONS",2019,251945
"80","OTHER COUNTRIES/REGIONS",2020,133720
"81","OTHER COUNTRIES/REGIONS",2021,159537
"82","OTHER COUNTRIES/REGIONS",2022,149375
"83","OTHER COUNTRIES/REGIONS",2023,185955
"84","OTHER COUNTRIES/REGIONS",2024,185479
"85","ALL COUNTRIES/REGIONS",2019,64803420
"86","ALL COUNTRIES/REGIONS",2020,54742117
"87","ALL COUNTRIES/REGIONS",2021,57276040
"88","ALL COUNTRIES/REGIONS",2022,58741536
"89","ALL COUNTRIES/REGIONS",2023,65412763
"90","ALL COUNTRIES/REGIONS",2024,67542081
"91","TOTAL OICA MEMBERS",2019,54390632
"92","TOTAL OICA MEMBERS",2020,46202416
"93","TOTAL OICA MEMBERS",2021,47991273
"94","TOTAL OICA MEMBERS",2022,49786620
"95","TOTAL OICA MEMBERS",2023,55565243
"96","TOTAL OICA MEMBERS",2024,56887539
